Stock,Date,Actual,Forecast
MSFT,2023-12-29,376.0400085449218,373.09203787829654
MSFT,2024-01-02,370.8699951171874,372.97329953544465
MSFT,2024-01-03,370.6000061035155,373.37117398824154
MSFT,2024-01-04,367.94000244140614,373.60204341603395
MSFT,2024-01-05,367.7500000000001,373.48879098550213
MSFT,2024-01-08,374.69000244140625,373.488491055038
MSFT,2024-01-09,375.7900085449219,373.38874414676354
MSFT,2024-01-10,382.769989013672,373.3882261089057
MSFT,2024-01-11,384.63000488281233,373.9201067321491
MSFT,2024-01-12,388.470001220703,374.3760623538412
MSFT,2024-01-16,390.2699890136718,375.0477807263653
MSFT,2024-01-17,389.47000122070307,376.3262866734899
MSFT,2024-01-18,393.8699951171874,377.50252048111315
MSFT,2024-01-19,398.67001342773455,378.5166302797575
MSFT,2024-01-22,396.51000976562517,379.1632853023178
MSFT,2024-01-23,398.8999938964843,380.29710082253314
MSFT,2024-01-24,402.5599975585936,381.60987543844993
MSFT,2024-01-25,404.86999511718744,383.0314942318489
MSFT,2024-01-26,403.9299926757812,384.7698319591268
MSFT,2024-01-29,409.720001220703,386.70181097286013
MSFT,2024-01-30,408.5899963378907,388.50846304856566
MSFT,2024-01-31,397.57998657226545,390.6707238637715
MSFT,2024-02-01,403.77999877929676,392.3886080125859
MSFT,2024-02-02,411.220001220703,393.9734428259938
MSFT,2024-02-05,405.6499938964845,396.4426513816777
MSFT,2024-02-06,405.48999023437506,398.66751452505196
MSFT,2024-02-07,414.0499877929689,400.47277455665625
MSFT,2024-02-08,414.10998535156256,402.6985339991711
MSFT,2024-02-09,420.5499877929688,404.8353386512862
MSFT,2024-02-12,415.2600097656249,406.7054146983816
MSFT,2024-02-13,406.32000732421886,408.2621732008964
MSFT,2024-02-14,409.4899902343751,409.2772677120588
MSFT,2024-02-15,406.5599975585937,410.4346149390794
MSFT,2024-02-16,404.05999755859375,411.04192714808886
MSFT,2024-02-20,402.790008544922,411.5029844597697
MSFT,2024-02-21,402.17999267578125,411.8345013519686
MSFT,2024-02-22,411.64999389648426,411.80560590328264
MSFT,2024-02-23,410.33999633789057,412.04092420314396
MSFT,2024-02-26,407.54000854492193,412.63843989051117
MSFT,2024-02-27,407.48001098632824,412.83863341956584
MSFT,2024-02-28,407.7200012207031,412.440817233355
MSFT,2024-02-29,413.6400146484375,412.43304511195316
MSFT,2024-03-01,415.5000000000001,413.1448219556219
MSFT,2024-03-04,414.9200134277342,413.443123775305
MSFT,2024-03-05,402.6499938964844,414.29523191866787
MSFT,2024-03-06,402.08999633789074,414.7517516013863
MSFT,2024-03-07,409.14001464843733,414.9676281860469
MSFT,2024-03-08,406.220001220703,414.82527003347934
MSFT,2024-03-11,404.519989013672,414.5210929605036
MSFT,2024-03-12,415.27999877929705,413.27631156290397
MSFT,2024-03-13,415.1000061035158,413.7868130271795
MSFT,2024-03-14,425.22000122070295,414.6268481442241
MSFT,2024-03-15,416.4200134277342,415.12055444471264
MSFT,2024-03-18,417.32000732421886,415.5974089390137
MSFT,2024-03-19,421.4100036621094,416.19384941400375
MSFT,2024-03-20,425.230010986328,417.0432430205178
MSFT,2024-03-21,429.36999511718756,417.8985100079593
MSFT,2024-03-22,428.7399902343749,418.94639760882825
MSFT,2024-03-25,422.85998535156244,419.9266653389954
MSFT,2024-03-26,421.6499938964842,420.78383922733553
MSFT,2024-03-27,421.42999267578136,421.5824256114102
MSFT,2024-03-28,420.7200012207032,421.80643594154446
MSFT,2024-04-01,424.5700073242186,422.25703983312286
MSFT,2024-04-02,421.4400024414062,422.8471708140392
MSFT,2024-04-03,420.4500122070311,423.33842424330066
MSFT,2024-04-04,417.88000488281244,424.0666330194555
MSFT,2024-04-05,425.5199890136718,425.3263487596915
MSFT,2024-04-08,424.5899963378906,426.1171290902624
MSFT,2024-04-09,426.27999877929676,427.29538625570933
MSFT,2024-04-10,423.2600097656249,428.4219353876759
MSFT,2024-04-11,427.9299926757812,429.27969894853027
MSFT,2024-04-12,421.8999938964845,429.0086885577477
MSFT,2024-04-15,413.6400146484375,428.72950575874825
MSFT,2024-04-16,414.5799865722655,428.960129503418
MSFT,2024-04-17,411.8399963378907,428.9742234655404
MSFT,2024-04-18,404.2699890136718,428.9019378746066
MSFT,2024-04-19,399.11999511718756,427.64792217648153
MSFT,2024-04-22,400.9599914550781,426.08750186463226
MSFT,2024-04-23,407.57000732421875,424.54020388667635
MSFT,2024-04-24,409.05999755859364,423.6698841127187
MSFT,2024-04-25,399.040008544922,422.58997854010886
MSFT,2024-04-26,406.32000732421886,421.30760004321314
MSFT,2024-04-29,402.25000000000006,420.47911471472037
MSFT,2024-04-30,389.32998657226545,418.87156282762635
MSFT,2024-05-01,394.94000244140625,417.518160285583
MSFT,2024-05-02,397.83999633789057,416.6276401751665
MSFT,2024-05-03,406.6600036621095,415.34955888931563
MSFT,2024-05-06,413.5400085449218,413.48739415061476
MSFT,2024-05-07,409.33999633789074,412.88462066456503
MSFT,2024-05-08,410.54000854492176,411.83890487842444
MSFT,2024-05-09,412.32000732421886,411.1048281769784
MSFT,2024-05-10,414.73999023437483,410.1701109650792
MSFT,2024-05-13,413.72000122070307,410.06675645402987
MSFT,2024-05-14,416.55999755859375,409.6632478119066
MSFT,2024-05-15,423.0799865722655,409.69433027595755
MSFT,2024-05-16,420.98999023437506,409.9108093834928
MSFT,2024-05-17,420.2099914550781,410.71817086597446
MSFT,2024-05-20,425.33999633789074,411.8711809517366
MSFT,2024-05-21,429.0400085449218,413.08720523200014
MSFT,2024-05-22,430.51998901367176,414.28441068407807
MSFT,2024-05-23,427.0000000000001,415.68094064917665
MSFT,2024-05-24,430.16000366210943,418.0005859544519
MSFT,2024-05-28,430.3200073242188,419.0331056275523
MSFT,2024-05-29,429.1700134277342,420.66271045936276
MSFT,2024-05-30,414.6700134277344,422.90689191294933
MSFT,2024-05-31,415.1300048828126,423.8709382811357
MSFT,2024-06-03,413.519989013672,424.9126408169876
MSFT,2024-06-04,416.0700073242189,425.6460038819233
MSFT,2024-06-05,424.0100097656249,425.73514372055814
MSFT,2024-06-06,424.51998901367205,426.42399000696486
MSFT,2024-06-07,423.8500061035156,427.34168441134864
MSFT,2024-06-10,427.86999511718756,427.85509268579483
MSFT,2024-06-11,432.6799926757811,428.93214237028894
MSFT,2024-06-12,441.0599975585939,428.6188891680264
MSFT,2024-06-13,441.57998657226557,429.8301805542737
MSFT,2024-06-14,442.5700073242187,429.7832640333441
MSFT,2024-06-17,448.3699951171876,430.81895724369144
MSFT,2024-06-18,446.33999633789074,431.6900449305548
MSFT,2024-06-20,445.7000122070311,433.3966314293697
MSFT,2024-06-21,449.779998779297,434.5910986386285
MSFT,2024-06-24,447.6700134277345,436.03051576331586
MSFT,2024-06-25,450.9500122070311,436.90427020165794
MSFT,2024-06-26,452.1600036621093,438.44982680835284
MSFT,2024-06-27,452.85000610351574,439.2209712492695
MSFT,2024-06-28,446.95001220703136,440.4381352755681
MSFT,2024-07-01,456.73001098632795,442.40559217387437
MSFT,2024-07-02,459.27999877929705,444.0465665647806
MSFT,2024-07-03,460.7699890136717,446.127234708069
MSFT,2024-07-05,467.55999755859386,448.50473635135313
MSFT,2024-07-08,466.2399902343749,450.5325029749214
MSFT,2024-07-09,459.540008544922,452.5198112199252
MSFT,2024-07-10,466.25000000000017,454.4452502316514
MSFT,2024-07-11,454.7000122070314,456.3599080877572
MSFT,2024-07-12,453.5499877929688,457.7339691281777
MSFT,2024-07-15,453.9599914550783,458.3376446192068
MSFT,2024-07-16,449.51998901367176,458.5332090803872
MSFT,2024-07-17,443.51998901367205,458.99282482516173
MSFT,2024-07-18,440.36999511718744,459.3443860178902
MSFT,2024-07-19,437.1099853515624,459.2788766030068
MSFT,2024-07-22,442.9400024414061,458.6737006587657
MSFT,2024-07-23,444.8500061035156,458.34472695239646
MSFT,2024-07-24,428.8999938964844,457.98202356860634
MSFT,2024-07-25,418.39999389648426,457.3790599996874
MSFT,2024-07-26,425.2699890136719,455.779151865336
MSFT,2024-07-29,426.730010986328,454.0831771462652
MSFT,2024-07-30,422.9200134277344,452.87470236412986
MSFT,2024-07-31,418.3500061035156,450.870041068897
MSFT,2024-08-01,417.10998535156267,448.13806502000324
MSFT,2024-08-02,408.489990234375,446.54643907681566
MSFT,2024-08-05,395.14999389648455,443.0043627627664
MSFT,2024-08-06,399.60998535156233,439.53520292767485
MSFT,2024-08-07,398.4299926757812,436.93730563125786
MSFT,2024-08-08,402.6900024414063,433.37049627907106
MSFT,2024-08-09,406.0199890136717,430.1404800694513
MSFT,2024-08-12,406.8099975585936,427.38112255073224
MSFT,2024-08-13,414.01000976562483,424.84238315827287
MSFT,2024-08-14,416.8599853515624,422.58176093191895
MSFT,2024-08-15,421.0299987792967,420.97340085595164
MSFT,2024-08-16,418.4700012207031,419.38580501923366
MSFT,2024-08-19,421.52999877929693,418.37687517612216
MSFT,2024-08-20,424.7999877929688,417.2365913339932
MSFT,2024-08-21,424.14001464843767,416.01334161272575
MSFT,2024-08-22,415.54998779296886,415.7737299910278
MSFT,2024-08-23,416.79000854492176,415.7310264579725
MSFT,2024-08-26,413.4899902343751,415.2884820261746
MSFT,2024-08-27,413.8399963378905,414.9107151561962
MSFT,2024-08-28,410.6000061035158,414.4212941723672
MSFT,2024-08-29,413.1199951171876,414.2960946059321
MSFT,2024-08-30,417.14001464843756,413.7232889176348
MSFT,2024-09-03,409.4400024414061,414.0712895462617
MSFT,2024-09-04,408.8999938964843,415.34113039375126
